"","station","EHF_t","min_95","min_99","max_95","max_99","mean_95","mean_99"
"51",10073,15.109425,19.6,23.1,37.8,41.4,28.25,31.4
"52",10076,14.9854166666667,20,23,37.5,41,28.25,31.25
"53",10077,14.499375,20.5,23.5,38,41.5,29,31.75
"54",10078,14.7821527777778,19.5,23,37.5,41,28.25,31.25
"55",10082,14.61875,20.5,23.5,38,41.5,29,31.75
"56",10083,14.5997916666667,20,23.5,37.5,41,28.5,31.5
"57",10085,14.6173611111111,20,23.5,38,41.5,28.75,31.75
"58",10088,14.8069444444444,20.5,23.5,38,41.5,29,31.75
"59",1009,1.76676944444444,27.1,28.3,36,38,31.1,32.05
"60",10091,15.4545833333333,19,22,38,41.5,28,31
"61",10092,14.8592222222222,20,23.4,37.5,41,28.35,31.3
"62",10093,15.4167777777778,20.2,23.5,37.5,41,28.5,31.5
"63",10094,14.38,20.5,24,38.5,41.5,29.25,32
"64",10095,14.35,19.5,23,37.5,41,28.25,31
"65",10096,14.2894444444444,21,24,38.5,42,29.5,32.25
"66",10097,14.5666666666667,20,23.5,38,41.5,28.75,31.75
"67",10099,14.4114583333333,19,22.5,37.5,41,28,30.75
"68",10100,14.0088888888889,19,22,37.5,40.5,27.75,30.75
"69",10102,14.38,20.5,24,38.5,41.5,29.25,32
"70",10103,14.3370138888889,19,22,37,40.5,27.75,30.75
"71",10104,14.5941666666667,19.5,22.5,37.5,41,28,31
"72",10105,14.3819444444444,20.5,23.5,38.5,41.5,29,32
"73",10106,14.405625,20,23.5,38,41,28.75,31.5
"74",10108,14.3718055555556,20,23.5,37.5,41,28.5,31.5
"75",10109,14.3083333333333,19,22,37,40.5,27.75,30.75
"76",10111,15.2822777777777,19.6,22.6,38,41.7,28.3,31.3
"77",10112,14.8308333333333,20.5,23.5,38,41.5,28.75,31.75
"78",10113,14.789375,18.5,21.5,37,40.5,27.25,30.25
"79",10115,15.5111111111111,19,22,37.5,41,27.75,30.75
"80",10116,14.7298611111111,19.5,22.5,38,41.5,28.25,31.25
"81",10118,14.6325,19,22,37,40.5,27.5,30.5
"82",10119,14.1559375,19,22,37,40.5,27.75,30.75
"83",1012,1.58964583333333,25,26,36.5,38.5,30,31
"84",10120,15.6744444444444,18.5,21.5,37,40.5,27.25,30.25
"85",10121,14.6333333333333,19.5,22.5,37.5,41,28,31
"86",10122,15.0372222222222,19,22,37.5,41,27.75,30.75
"87",10123,14.3234027777778,19,22,37,40.5,27.5,30.5
"88",10124,14.2694444444444,20,23,37.5,41,28.5,31.25
"89",10125,15.246875,19.5,22.5,37.5,41,28,31
"90",10126,14.6977777777778,20.5,23.5,38,41.5,28.75,31.75
"91",10128,13.9630555555556,18.5,21.5,37,40.5,27.5,30.5
"92",1013,2.58587222222222,28.5,30,40.7,42.2,34.25,35.65
"93",10133,14.710625,20.5,23.5,38,41.5,29,31.75
"94",10134,15.6397916666667,19.5,22,37,41,27.75,30.75
"95",10135,14.2726041666667,20.5,23.5,38.5,41.5,29.25,32
"96",10136,14.52375,21,24,38.5,41.5,29.25,32
"97",10137,13.9144444444444,21,23.5,38.5,41.5,29.25,32
"98",10138,15.575,18.5,21.5,36,40,26.75,29.75
"99",10140,15.3824861111111,20,23,38,41,28.5,31.3700000000001
"100",10141,14.1736111111111,21,24,38.5,42,29.25,32.25
"101",10142,14.6116666666667,20.5,23.5,38,41.5,29,31.75
"102",10143,15.0791666666667,19.5,22.5,37.5,41,28.25,31
"103",10144,14.3417305555556,18.8,21.7,37.5,41.0400000000001,27.5,30.5
"104",10145,15.03125,20,23,38,41,28.5,31.5
"105",10147,14.9525,20.5,23.5,38,41.5,29,31.75
"106",10149,14.8769097222222,19.5,23,37.5,41,28.25,31.25
"107",10150,15.2609375,19,22,38,41.5,28,31
"108",10151,14.1570833333333,20,23,37.5,41,28.5,31.25
"109",10152,15.2381597222222,19,22,37.7,41.1,27.75,30.75
"110",10154,15.0515625,19.5,22.5,37.5,41,28.25,31.25
"111",10155,14.6003125,20,23,37.5,41,28.5,31.5
"112",10156,15.6886111111111,19.5,22.5,37.5,41,28,31
"113",10157,15.175,20,23,38,41.5,28.5,31.5
"114",10158,14.0829166666667,20.5,23.5,38.5,41.5,29.25,32
"115",10160,15.41875,19.5,22.5,37.5,41,28,31
"116",10161,14.8394444444444,20,23,38,41,28.5,31.5
"117",10163,15.5625,19,22,37.5,41,27.75,30.75
"118",1018,2.2068,23.5,25,37.1,39,30,31.25
"119",10192,14.1507291666667,20.5,23.5,38,41.5,29,31.75
"120",1021,1.62541666666666,26.2,27.5,38.2,39.8,31.65,32.75
"121",10244,15.4118472222222,18.5,21.5,36.5,40,27,30
"122",10248,14.3245833333333,20,23,37.5,41,28.25,31.25
"123",1025,1.99958333333334,24.5,25.5,37.5,39,30.5,31.5
"124",10250,15.51625,19.5,22.7000000000007,37.5,41,28.25,31.25
"125",10270,13.7370833333333,21.5,24.5,39.5,42.5,30.25,32.75
"126",10283,14.4101388888889,19,22,37,40.5,27.75,30.5
"127",10298,13.9927083333333,19.5,22.5,37.5,41,28.25,31.25
"128",10501,15.4000347222222,18,21,36.5,40,26.75,29.75
"129",10502,13.5352083333333,16,18.5,31.5,36,23,26.25
"130",10503,14.7123611111111,18.5,22,37,40.5,27.5,30.5
"131",10504,13.3902777777778,15.5,17.5,32.5,36.5,23,26.25
"132",10505,15.3098611111111,16,19,34.5,38.5,24.75,27.75
"133",10506,13.2257986111111,15.5,18,32.5,37,23.25,26.5
"134",10508,14.453125,16.5,19,34,38,24.5,27.5
"135",10509,15.2141666666667,18,21,36.5,40,26.75,29.75
"136",10510,14.5260416666667,16.5,19,35,38.5,25,28
"137",10512,14.7781597222222,16.5,19,34.5,38.5,24.75,27.75
"138",10513,14.9070833333333,18,21,36.5,40,26.75,29.75
"139",10515,14.6815055555556,18.4,21.4,37.4,41,27.25,30.25
"140",10518,14.4256944444444,18,21,36.5,40.5,26.75,30
"141",10519,13.9979513888889,16,18.5,32.5,37,23.5,26.75
"142",10520,14.0158333333333,16,18.5,34,38,24.25,27.25
"143",10523,14.4440972222222,16.5,19,33.5,38,24.25,27.5
"144",10524,14.4627444444445,18,21,36.5,40,26.75,29.7
"145",10525,13.4716666666667,16,18,33.5,37.5,23.75,27
"146",10526,13.6399305555556,16,18.5,33.5,37.5,24,27
"147",10527,15.4654861111111,18,21,36.5,40,26.75,29.5
"148",10528,15.0401041666667,16.5,19,34.5,38.5,24.75,28
"149",10530,13.1965364583333,15.5,18,33.5,37,23.75,26.75
"150",10531,14.1547569444445,16,18.5,34,38,24.25,27.25
"151",10532,13.8853819444445,16,18.5,33,37,23.75,27
"152",10533,16.4461111111111,17,19,33,38,24.25,27.75
"153",10534,15.4136111111111,18,21,36,39.5,26.5,29.5
"154",10536,15.4822958333333,18,21.1,36.1,39.9,26.5,29.6
"155",10537,13.2489583333333,15.5,18,32,36.5,23,26.25
"156",10538,15.4767361111111,17,20,35,38.5,25.5,28.5
"157",10540,15.1264583333333,17.5,20.5,36,39.5,26.25,29.25
"158",10541,14.91375,16,18.5,32.5,37,23.5,26.75
"159",10542,14.488125,15.5,18.5,34,38,24.25,27.25
"160",10543,13.515,16,18,32.5,37,23.5,26.6000000000004
"161",10544,14.90625,16,18.5,34.5,38,24.5,27.5
"162",10545,15.4836805555556,17,20,35.5,39,25.5,28.75
"163",10546,14.9325,16.5,19.5,35,38.5,25,28.25
